Index,Price
1070,155000
1160,250000
1082,163000
1000,222500
1040,235000
1140,208500
1190,201250
1083,162500
1050,270000
1090,150000
1081,160000
1080,159500
1060,205000
1210,154000
1030,180500
1180,281500
1170,255000
1200,292500
1150,300000
